family,support_name,geometry_key,bond_length_angstrom,external_k,total_operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_2e10o_exact_ha,chemical_accuracy,guard_band_accuracy,variational_bound_respected
deterministic_path,compact10_plus_top_14,2.500000,2.5,14,24,2,True,-7.966449413569134,8.714078347793475e-10,-7.9690746235741745,0.002625210005040124,False,False,True
deterministic_path,compact10_plus_top_14,3.000000,3.0,14,24,2,True,-7.942914440969288,2.6155078103329288e-11,-7.949505082865738,0.006590641896449867,False,False,True
deterministic_path,compact10_plus_top_15,1.595000,1.595,15,25,2,True,-7.997480255892475,5.859757123971576e-11,-7.998002039295045,0.0005217834025703638,True,True,True
deterministic_path,compact10_plus_top_15,2.500000,2.5,15,25,2,True,-7.966450832496897,1.3087220196439375e-10,-7.9690746235741745,0.002623791077277282,False,False,True
deterministic_path,compact10_plus_top_15,3.000000,3.0,15,25,2,True,-7.942918690486113,1.638564839367973e-10,-7.949505082865738,0.0065863923796243284,False,False,True
deterministic_path,compact10_plus_top_16,1.595000,1.595,16,26,2,True,-7.997482386050947,8.920579830373754e-10,-7.998002039295045,0.0005196532440976398,True,True,True
deterministic_path,compact10_plus_top_16,2.500000,2.5,16,26,2,True,-7.966452237083695,5.101039590726941e-10,-7.9690746235741745,0.0026223864904793004,False,False,True
deterministic_path,compact10_plus_top_16,3.000000,3.0,16,26,2,True,-7.942922884394863,9.084919483370868e-10,-7.949505082865738,0.006582198470874268,False,False,True
deterministic_path,compact10_plus_top_17,1.595000,1.595,17,27,2,True,-7.997484564174627,6.792344464656708e-11,-7.998002039295045,0.0005174751204179984,True,True,True
deterministic_path,compact10_plus_top_17,2.500000,2.5,17,27,2,True,-7.9664537139936735,1.0687717377777517e-10,-7.9690746235741745,0.002620909580500985,False,False,True
deterministic_path,compact10_plus_top_17,3.000000,3.0,17,27,2,True,-7.942927233596767,7.709033411629207e-11,-7.949505082865738,0.006577849268970759,False,False,True
deterministic_path,compact10_plus_top_18,1.595000,1.595,18,28,2,True,-7.997486683985804,2.0087842500515762e-10,-7.998002039295045,0.0005153553092407392,True,True,True
deterministic_path,compact10_plus_top_18,2.500000,2.5,18,28,2,True,-7.966455176495919,3.604760934194928e-11,-7.9690746235741745,0.0026194470782554546,False,False,True
deterministic_path,compact10_plus_top_18,3.000000,3.0,18,28,2,True,-7.942931527215163,5.851656936783911e-10,-7.949505082865738,0.006573555650574825,False,False,True
deterministic_path,compact10_plus_top_19,1.595000,1.595,19,29,2,True,-7.9975059869220155,1.4813990034667768e-09,-7.998002039295045,0.0004960523730295208,True,True,True
deterministic_path,compact10_plus_top_19,2.500000,2.5,19,29,2,True,-7.966792995792678,4.860902791392618e-10,-7.9690746235741745,0.0022816277814960984,False,False,True
deterministic_path,compact10_plus_top_19,3.000000,3.0,19,29,2,True,-7.943948018138627,3.0103830539474075e-10,-7.949505082865738,0.005557064727110372,False,False,True
deterministic_path,compact10_plus_top_20,1.595000,1.595,20,30,2,True,-7.997525110956772,1.5042322942804276e-09,-7.998002039295045,0.00047692833827284176,True,True,True
deterministic_path,compact10_plus_top_20,2.500000,2.5,20,30,2,True,-7.96711332225363,3.162190509442553e-10,-7.9690746235741745,0.001961301320544173,False,False,True
deterministic_path,compact10_plus_top_20,3.000000,3.0,20,30,2,True,-7.944838197040533,1.5569323608133345e-10,-7.949505082865738,0.004666885825204581,False,False,True
